Date,Close,DailyReturn
2024-01-16,160.52,0.056099233310480216
2024-01-12,162.39,1.1649638674308347
2024-01-11,161.15,-0.7635938173532735
2024-01-10,161.87,0.446788706174371
2024-01-09,161.63,-0.14826712794218144
2024-01-08,161.53,-0.06186970240672791
2024-01-05,161.13,-0.24763201882003696
2024-01-04,160.63,-0.31030844659591633
2024-01-03,160.97,0.2116665629085497
2024-01-02,159.97,-0.6212337702677517
2023-12-29,156.74,-2.019128586609983
2023-12-28,156.58,-0.10207987750414482
2023-12-27,156.35,-0.14688976880828852
2023-12-26,156.14,-0.13431403901503547
2023-12-22,155.46,-0.4355065966440236
2023-12-21,154.84,-0.398816415798279
2023-12-20,153.27,-1.0139498837509644
2023-12-19,156.46,2.08129444770666
2023-12-18,155.44,-0.6519238143934617
2023-12-15,155.16,-0.18013381369017056
2023-12-14,156.87,1.1020881670533695
2023-12-13,155.79,-0.6884681583476844
2023-12-12,155.07,-0.46216060080878035
2023-12-11,155.06,-0.006448700586825889
2023-12-08,154.42,-0.4127434541467914
2023-12-07,155.4,0.6346328195829674
2023-12-06,156.62,0.7850707850707843
2023-12-05,158.55,1.232281956327421
2023-12-04,158.88,0.2081362346262908
2023-12-01,158.38,-0.3147029204431017
2023-11-30,154.66,-2.348781411794418
2023-11-29,152.11,-1.6487779645674272
2023-11-28,151.63,-0.3155611070935626
2023-11-27,151.28,-0.23082503462375142
2023-11-24,152.5,0.8064516129032251
2023-11-22,150.82,-1.1016393442622996
2023-11-21,151.12,0.19891261105954872
2023-11-20,149.91,-0.8006881948120751
2023-11-17,149.79,-0.0800480288172934
2023-11-16,150.1,0.20695640563455656
2023-11-15,148.8,-0.8660892738174436
2023-11-14,147.66,-0.7661290322580744
2023-11-13,147.63,-0.0203169443315733
2023-11-10,147.25,-0.2574002574002543
2023-11-09,147.42,0.11544991511034805
2023-11-08,150.35,1.9875186541853256
2023-11-07,150.9,0.3658131027602337
2023-11-06,151.7,0.5301524188203995
2023-11-03,151.34,-0.23731048121291054
2023-11-02,150.24,-0.7268402273027582
2023-11-01,148.69,-1.0316826411075686
